Timestamp,Rachin Ravindra ,Rahul Tripati,Rutraj Gaikwad,Shivam Dube,Deepak Hooda,Sam Curran,Ravindra Jadeja,MS Dhoni,Ravichandra Ashwin ,Noor Ahmed ,Nathan Ellis,Khaleel Ahmed ,Player,Match2_Rating,Match2_Category
23-03-2025 20:59,9,1,10,3,2,4,6,5,6,10,7,8,,,
23-03-2025 21:00,8,4,7,4,4,6,7,6,7,9,6,9,,,
23-03-2025 21:02,10,3,10,4,2,1,7,7,7,10,7,9,,,
23-03-2025 21:03,9,3,9,6,2,4,6,7,6,9,7,8,,,
23-03-2025 23:11,10,2,10,5,1,4,8,4,9,10,3,9,,,
23-03-2025 23:33,9,1,10,3,1,1,5,7,6,10,7,10,,,
23-03-2025 23:54,7,6,9,8,7,7,8,10,8,8,7,10,,,
24-03-2025 01:12,7,4,9,6,5,2,7,7,8,9,8,9,,,
24-03-2025 01:14,10,3,10,2,1,2,9,10,10,10,2,10,,,
24-03-2025 01:15,8,2,10,2,1,1,5,7,2,9,2,2,,,
24-03-2025 02:15,8,2,9,4,3,1,3,6,7,10,5,8,,,
24-03-2025 02:24,10,1,10,2,1,1,7,5,6,10,4,9,,,
24-03-2025 02:57,9,1,10,4,1,4,8,10,8,10,7,10,,,
24-03-2025 03:50,10,1,10,1,1,1,7,7,7,10,7,8,,,
24-03-2025 03:51,9,5,10,5,5,5,8,10,9,10,7,10,,,
24-03-2025 04:03,9,2,10,5,3,1,6,10,8,10,7,9,,,
24-03-2025 04:18,8,3,10,2,2,1,8,7,8,10,7,9,,,
24-03-2025 04:32,8,4,9,4,3,4,6,6,8,10,6,8,,,
24-03-2025 11:00,8,2,9,4,3,1,4,7,7,10,6,8,,,
24-03-2025 16:17,9,1,10,2,1,1,8,8,7,10,7,9,,,
24-03-2025 19:11,10,3,10,5,2,6,7,9,9,10,8,10,,,
